,,Accuracy,Precision,Recall,F1-Score
TFIDF,Random Forest,0.548426445474506,0.515266749618869,0.548426445474506,0.518658580740222
TFIDF,Neural Network,0.5618443522810441,0.5520415360573723,0.5618443522810441,0.5557557710423321
BOW,Random Forest,0.5423273969260796,0.5035271519874295,0.5423273969260796,0.4978691318160473
BOW,Neural Network,0.6184435228104416,0.6097143089683053,0.6184435228104416,0.6118197994716443
SpaCy,Random Forest,0.5220785557453037,0.515592104254201,0.5220785557453037,0.5170033864600975
SpaCy,Neural Network,0.5559892656745548,0.5653132876211553,0.5559892656745548,0.5575561800137331
