,Accuracy,Precision,Recall,F1-Score
Random Forest,0.5386679677970236,0.5053183361239587,0.5386679677970236,0.512044351172146
Logistic Regression,0.5872163942424982,0.5969094008051372,0.5872163942424982,0.5910961974219879
Neural Network,0.5859965845328129,0.577678088828042,0.5859965845328129,0.5784692824593582
